objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,Access_restrictions,citation ,cataloger
ucb_1968_poster_001,The law requires that you inform your draft board of all changes in status,Unknown,1968,Image of raised fist clutching letters.,"Slogans, Political art, Posters, Draft, Civil disobedience, UC Berkeley",UC Berkeley,37.8712,-122.2555,UBC Berkeley 1968-1973 Poster Collection - https://open.library.ubc.ca/collections/berkpost/items/1.0001204,SPAM96_P_22_109,Poster,image/jpg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,ucb_1968_poster_001.jpg,Permission has been granted to publish by the University of British Columbia's Special Collections department,"University of British Columbia Library, Rare Books and Special Collections. (ca. 1968–1970). The law requires that you inform your draft board of all changes in status [Poster]. UBC Berkeley 1968–1973 Poster Collection. https://open.library.ubc.ca/collections/berkpost/items/1.0001350",Daniel
ucb_1968_poster_002,Vietnam: Spilled blood split the country,Unknown,1968,"Image of parent holding dead child overtop of America. ""4973"" stamped on lower left.","Slogans, Political art, posters, Violence, Anti-war, UC Berkeley",UC Berekely,37.8712,-122.2555,UBC Berkeley 1968-1973 Poster Collection - https://open.library.ubc.ca/collections/berkpost/items/1.0001204,SPAM96_P_09_044,poster,image/jpg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,ucb_1968_poster_002.jpg,Permission has been granted to publish by the University of British Columbia's Special Collections department,"University of British Columbia Library, Rare Books and Special Collections. (ca. 1968–1973). Vietnam: Spilled blood split the country [Poster]. UBC Berkeley 1968–1973 Poster Collection. https://open.library.ubc.ca/collections/berkpost/items/1.0001138",Daniel
ucb_1968_poster_003,Send them Tractors Not Tanks,Unknown,1968,Image of tractor and tank,"Slogans, Political art, posters, Pacifism, Anti-war, UC Berkeley",UC Berkeley,37.8712,-122.2555,UBC Berkeley 1968-1973 Poster Collection - https://open.library.ubc.ca/collections/berkpost/items/1.0001204,SPAM96_P_05_023,Poster,image/jpg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,ucb_1968_poster_003.jpg,Permission has been granted to publish by the University of British Columbia's Special Collections department,"University of British Columbia Library, Rare Books and Special Collections. (ca. 1968–1973). Send them tractors not tanks [Poster]. UBC Berkeley 1968–1973 Poster Collection. https://open.library.ubc.ca/collections/berkpost/items/1.0001204",Daniel
ucb_1968_poster_004,Peace or Pieces,RAPE,1968,Abstract image. RAPE stamped on lower right corner,"Slogans, Political art, Posters, UC Berkeley",UC Berkeley,37.8712,-122.2555,UBC Berkeley 1968-1973 Poster Collection - https://open.library.ubc.ca/collections/berkpost/items/1.0001204,SPAM96_P_05_022,Poster,image/jpg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,ucb_1968_poster_004.jpg,Permission has been granted to publish by the University of British Columbia's Special Collections department,"University of British Columbia Library, Rare Books and Special Collections. (ca. 1968–1973). Peace or pieces [Poster]. UBC Berkeley 1968–1973 Poster Collection. https://open.library.ubc.ca/collections/berkpost/items/1.0001142",Daniel
ucb_1968_poster_005,Strike Benefit,Unknown,1968,Image of fist striking building,"Slogans, Political art, posters, Strike, Campus Activism, UC Berkeley",UC Berekeley,37.8712,-122.2555,UBC Berkeley 1968-1973 Poster Collection - https://open.library.ubc.ca/collections/berkpost/items/1.0001204,SPAM96_P_30_146,Poster,image/jpg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image ,ucb_1968_poster_005.jpg,Permission has been granted to publish by the University of British Columbia's Special Collections department,"University of British Columbia Library, Rare Books and Special Collections. (ca. 1968–1973). Strike benefit [Poster]. UBC Berkeley 1968–1973 Poster Collection. https://open.library.ubc.ca/collections/berkpost/items/1.0001142",Daniel
